index, img_id, is_valid, scale, proc_id, file_name, pos, angle_deg, overlap_pixels_prev, overlap_pixels_next, packet_array_count,tag, c_packet, c_track, c_imc,root_bucket, next_bucket, next, bucket_id, pkg_index, packet_id, from_proc_id, is_center,pkg_row_start, pkg_row_end, pkg_col_start, pkg_col_end, img_row_start, img_col_start, img_row_count, img_col_count 
2255,2256,1,1,6,,0,77.2648,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9451,6,1,721,944,554,777,0,0,224,224
2256,2257,1,1,5,,0,75.3364,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9452,5,1,1918,2141,502,725,0,0,224,224
2257,2258,1,1,5,,0,75.9211,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9452,5,1,817,1040,524,747,0,0,224,224
2258,2259,1,1,5,,0,75.807,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9452,5,1,1034,1257,175,398,0,0,224,224
2259,2260,1,1,6,,0,74.1164,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9453,6,1,1784,2007,1202,1425,0,0,224,224
2260,2261,1,1,6,,0,74.2384,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9453,6,1,1554,1777,664,887,0,0,224,224
2261,2262,1,1,6,,0,74.1612,0,0,2,1536,1,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,0,-1,27,1,9173,6,0,1218,1441,1670,1711,0,0,224,42
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9453,6,1,1700,1923,0,181,0,42,224,182
2262,2263,1,1,5,,0,70.181,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9456,5,1,1896,2119,1097,1320,0,0,224,224
2263,2264,1,1,6,,0,67.3682,0,0,2,1280,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,0,28,1,9458,5,0,2325,2430,644,867,0,0,106,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9459,6,1,0,117,644,867,106,0,118,224
2264,2265,1,1,6,,0,61.6177,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9463,6,1,983,1206,942,1165,0,0,224,224
2265,2266,1,1,6,,0,61.7536,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9463,6,1,724,947,765,988,0,0,224,224
2266,2267,1,1,5,,0,59.8662,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
