index,parent,next,tail,count,status,track_id,source_type,dft.defect_id,dft.event_root_index,dft.from_channel,dft.channel_defect_id,dft.related_defect_id,dft.img_id,dft.img_tag,dft.peak_adc,dft.peak_packet_id,dft.peak_row,dft.peak_col,dft.x_encoder,dft.w_encoder,dft.radius,dft.theta,dft.x_cor,dft.y_cor,dft.x,dft.y,dft.snr,dft.defect_area,dft.defect_size,dft.dsize,dft.rppm,dft.nppm,dft.um_size,dft.x_size,dft.y_size,dft.ee,dft.haze_avg,dft.defect_tag,dft.cluster_number,dft.cluster_area,dft.cluster_length,dft.confidence,dft.midlevel_bin_number,dft.rough_bin_number,dft.fine_bin_number,dft.acc_flag,dft.cosmic_ray_flag,dft.saturated_flag,dft.max_xt_fit,dft.xenc_outer,dft.xenc_inner,dft.wenc_left,dft.wenc_right
24,-1,-1,25,1,0,27,-1,25,30,1,-1,-1,25,0,2770,3919,1679,734,36819,5648,122464.6015625,-0.1353738009929657,121344.1640625,-16527.908203125,-16527.91796875,-121344.1640625,223.0345001220703,1479.849609375,2770.0,38.468814849853516,2770.0,0.0,0.0,29.638671875,49.9296875,0.06535562127828598,48,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36782,36841,5644,5652
25,-1,-1,26,1,0,27,-1,26,31,1,-1,-1,26,0,4048,3919,1914,629,36728,5816,122537.296875,-0.13940049707889557,121348.6171875,-17026.490234375,-17026.4921875,-121348.6015625,260.85589599609375,1681.902587890625,4048.0,41.01100540161133,4048.0,0.0,0.0,32.84765625,51.203125,0.0673566535115242,52,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36696,36756,5812,5821
26,-1,-1,27,1,0,27,-1,27,32,1,-1,-1,27,0,4051,3919,2148,528,36640,5985,122608.0,-0.14345116913318634,121348.6328125,-17528.0,-17528.01171875,-121348.6328125,224.02430725097656,1503.45849609375,4051.0,38.77445602416992,4051.0,0.0,0.0,30.017578125,50.0859375,0.06730744987726212,57,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36608,36667,5981,5989
27,-1,-1,28,1,0,27,-1,28,33,1,-1,-1,28,0,4044,3919,2382,403,36532,6153,122693.8984375,-0.1474778652191162,121362.0390625,-18029.11328125,-18029.119140625,-121362.0390625,208.59463500976563,1674.8076171875,4044.0,40.92441177368164,4044.0,0.0,0.0,33.11328125,50.578125,0.07407645136117935,63,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36519,36578,6149,6158
28,-1,-1,29,1,0,27,-1,29,34,1,-1,-1,29,1536,4020,3920,126,1419,37422,6536,121981.8984375,-0.15665778517723083,120488.1328125,-19031.34765625,-19031.35546875,-120488.1328125,313.5947570800781,0.0,4020.0,4020.0,4020.0,0.0,0.0,0.0,0.0,0.2136366069316864,60,0,-1,0.0,0.0,0.0,-1,0,-1,0,0,0,0,37416,37432,6532,6541
29,-1,-1,30,1,0,27,-1,30,35,1,-1,-1,30,0,2222,3920,360,1336,37351,6705,122039.203125,-0.1607084572315216,120466.6328125,-19528.41796875,-19528.419921875,-120466.6328125,172.7011260986328,1542.9144287109375,2222.0,39.27994918823242,2222.0,0.0,0.0,30.65234375,50.3359375,0.06361977010965347,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37318,37377,6701,6709
30,-1,-1,31,1,0,27,-1,31,36,1,-1,-1,31,0,4046,3920,595,1209,37240,6874,122127.296875,-0.16475912928581238,120473.4375,-20030.67578125,-20030.685546875,-120473.4453125,319.7826843261719,1554.0390625,4046.0,39.421302795410156,4046.0,0.0,0.0,30.83984375,50.390625,0.06679654121398926,58,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37217,37276,6870,6878
31,-1,-1,32,1,0,27,-1,32,37,1,-1,-1,32,1280,4039,3920,89,753,36839,6510,122448.1015625,-0.15603460371494293,120960.5078125,-19028.705078125,-19028.708984375,-120960.5078125,342.0882263183594,1695.9351806640625,4039.0,41.181732177734375,4039.0,0.0,0.0,33.427734375,50.734375,0.06667546927928925,51,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36801,36860,6505,6514
32,-1,-1,33,1,0,27,-1,33,38,1,-1,-1,33,0,2576,3920,323,629,36732,6678,122534.1015625,-0.160061314702034,120967.8046875,-19529.330078125,-19529.33984375,-120967.8046875,218.11795043945313,1515.631103515625,2576.0,38.93110656738281,2576.0,0.0,0.0,30.58984375,49.546875,0.06445720791816711,52,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36703,36761,6674,6682
33,-1,-1,34,1,0,27,-1,34,39,1,-1,-1,34,0,2813,3920,556,490,36611,6846,122630.6015625,-0.16408801078796387,120983.3984375,-20032.033203125,-20032.041015625,-120983.3984375,238.360595703125,1496.31494140625,2813.0,38.68223190307617,2813.0,0.0,0.0,30.64453125,48.828125,0.09074193239212036,53,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36603,36660,6842,6850
34,-1,-1,35,1,0,27,-1,35,40,1,-1,-1,35,1280,4083,3920,61,212,36366,6490,122826.796875,-0.15555523335933685,121343.7421875,-19029.390625,-19029.396484375,-121343.7421875,213.45834350585938,1699.007080078125,4083.0,41.21901321411133,4083.0,0.0,0.0,33.48828125,50.734375,0.0671844407916069,67,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36330,36389,6485,6494
35,-1,-1,36,1,0,27,-1,36,42,1,-1,-1,36,1536,4067,3920,294,102,36271,6657,122903.0,-0.15955796837806702,121341.8359375,-19527.048828125,-19527.052734375,-121341.8359375,227.04014587402344,1744.374755859375,4067.0,41.76571273803711,4067.0,0.0,0.0,33.8046875,51.6015625,0.06692997366189957,71,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,36232,36292,6653,6662
36,-1,-1,37,1,0,27,-1,37,43,1,-1,-1,37,1792,2586,4040,2048,1419,38581,249531,121054.703125,-5.980871200561523,115564.875,36041.63671875,36041.63671875,-115564.875,184.99473571777344,1573.012451171875,2586.0,39.66122055053711,2586.0,0.0,0.0,34.30078125,45.859375,0.09528897702693939,66,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38539,38590,249527,249535
37,-1,-1,38,1,0,27,-1,38,44,1,-1,-1,38,0,4034,4040,1821,1177,38369,249367,121224.1015625,-5.976940631866455,115583.8359375,36546.6640625,36546.66015625,-115583.8359375,288.5803527832031,1852.4072265625,4034.0,43.03960037231445,4034.0,0.0,0.0,36.14453125,51.25,0.06774310022592545,66,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38353,38411,249363,249371
38,-1,-1,39,1,0,27,-1,39,45,1,-1,-1,39,0,2584,4040,1616,987,38201,249218,121358.703125,-5.973369121551514,115580.7734375,37000.2734375,37000.265625,-115580.78125,201.92202758789063,1861.5494384765625,2584.0,43.14567565917969,2584.0,0.0,0.0,36.30078125,51.28125,0.06585536897182465,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38180,38238,249214,249222
39,-1,-1,40,1,0,27,-1,40,46,1,-1,-1,40,0,2572,4040,2345,917,38143,249747,121405.296875,-5.986048221588135,116085.1484375,35545.5234375,35545.5234375,-116085.1484375,217.95736694335938,1837.4317626953125,2572.0,42.86527633666992,2572.0,0.0,0.0,35.890625,51.1953125,0.06905810534954071,60,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,38128,38186,249743,249751
40,-1,-1,41,1,0,27,-1,41,47,1,-1,-1,41,0,2801,4040,2118,733,37982,249583,121534.1015625,-5.982117652893066,116067.546875,36039.7265625,36039.71875,-116067.53125,237.36927795410156,1884.23046875,2801.0,43.40772247314453,2801.0,0.0,0.0,36.24609375,51.984375,0.06656289845705032,60,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37944,38003,249579,249587
41,-1,-1,42,1,0,27,-1,42,48,1,-1,-1,42,0,2776,4040,1892,534,37807,249419,121674.203125,-5.97818660736084,116058.6171875,36537.78125,36537.78515625,-116058.625,235.2506561279297,1814.76025390625,2776.0,42.60000228881836,2776.0,0.0,0.0,35.94140625,50.4921875,0.08707517385482788,60,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37759,37816,249415,249423
42,-1,-1,43,1,0,27,-1,43,49,1,-1,-1,43,0,4047,4040,2640,482,37763,249961,121709.0,-5.991177558898926,116556.796875,35037.046875,35037.046875,-116556.7890625,341.7418518066406,2000.383056640625,4047.0,44.725643157958984,4047.0,0.0,0.0,38.48046875,51.984375,0.11172613501548767,60,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37712,37770,249956,249965
43,-1,-1,44,1,0,27,-1,44,50,1,-1,-1,44,0,2595,4040,1688,317,37615,249271,121827.703125,-5.974639415740967,116074.53125,36995.84765625,36995.84765625,-116074.53125,219.8661346435547,1864.604736328125,2595.0,43.181068420410156,2595.0,0.0,0.0,36.34375,51.3046875,0.06553154438734055,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37586,37644,249266,249274
44,-1,-1,45,1,0,27,-1,45,51,1,-1,-1,45,0,4043,4040,2414,242,37552,249797,121877.796875,-5.987246990203857,116579.6328125,35544.13671875,35544.13671875,-116579.6328125,341.7749938964844,1916.281005859375,4043.0,43.77534866333008,4043.0,0.0,0.0,36.34375,52.7265625,0.06724967807531357,59,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,37530,37590,249793,249801
